CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
717539808,Existing Customer,51,F,High School,Single,Less than $40K,Blue,9930,0.731,1276,21,1.333
714070758,Existing Customer,49,M,High School,Single,$80K - $120K,Blue,31302,0.875,1564,35,2.182
714107958,Existing Customer,45,M,Graduate,Single,$40K - $60K,Blue,6576,0.579,1465,34,0.619
789140283,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,2664,0.85,1286,29,0.933
715550508,Existing Customer,45,F,Unknown,Married,Unknown,Blue,2535,1.705,1312,20,1.222
719712633,Existing Customer,64,M,Graduate,Married,Less than $40K,Blue,1709,1.656,1673,32,0.882
772629333,Existing Customer,45,M,Graduate,Married,$40K - $60K,Blue,3454,0.597,1313,30,0.304
720336708,Existing Customer,53,M,Doctorate,Married,$40K - $60K,Blue,3789,1.047,1609,42,0.68
802013583,Existing Customer,56,M,College,Married,$120K +,Blue,9689,0.576,1158,19,0.727
711887583,Attrited Customer,47,M,Unknown,Married,$80K - $120K,Blue,5449,0.696,836,18,0.385
714778833,Existing Customer,49,F,College,Single,Unknown,Blue,23032,0.619,1289,22,1
713843283,Existing Customer,41,F,Unknown,Married,Unknown,Silver,34516,1.034,1487,26,0.733
779155158,Existing Customer,53,M,Graduate,Married,$120K +,Blue,2940,0.562,1259,33,0.5
721091583,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,3031,0.788,1298,15,1.5
713572683,Existing Customer,44,M,High School,Unknown,$60K - $80K,Blue,1862,0.883,1226,34,0.789
716657058,Existing Customer,43,F,Post-Graduate,Married,Less than $40K,Blue,8358,0.762,1566,37,0.542
779509983,Existing Customer,53,M,Post-Graduate,Single,$120K +,Blue,34516,0.828,1022,21,1.1
717929133,Existing Customer,44,M,Uneducated,Married,$60K - $80K,Blue,14450,1.283,1235,30,0.667
808284783,Existing Customer,62,F,Unknown,Married,Less than $40K,Blue,1438.3,0.813,1951,44,1.095
708476808,Existing Customer,54,M,Unknown,Divorced,$120K +,Blue,33791,0.618,1047,31,0.824
710916408,Existing Customer,57,M,Graduate,Married,$60K - $80K,Blue,8466,0.56,1342,32,0.391
708492558,Existing Customer,42,M,Unknown,Married,$60K - $80K,Blue,15088,0.939,1107,21,1.625
799825758,Existing Customer,42,M,High School,Divorced,$60K - $80K,Blue,3263,0.588,1251,35,0.346
718619883,Existing Customer,54,F,Uneducated,Married,Less than $40K,Blue,1494,1.674,1305,24,3
711844758,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,13551,0.791,1388,37,1.056
714798783,Existing Customer,49,M,Graduate,Single,$80K - $120K,Blue,18886,1.826,1235,18,1.571
826762908,Existing Customer,52,M,High School,Unknown,$80K - $120K,Blue,11976,1.024,2089,36,1.118
771894558,Existing Customer,50,M,High School,Single,$80K - $120K,Blue,9964,1.873,1626,25,0.786
721074183,Existing Customer,49,M,Doctorate,Married,$60K - $80K,Blue,24159,0.712,1111,24,1
715259583,Existing Customer,53,F,High School,Married,Less than $40K,Blue,5362,0.816,1553,38,1
718414008,Existing Customer,50,M,Graduate,Single,$120K +,Blue,34516,1.004,1064,13,0.625
719666283,Existing Customer,55,F,Doctorate,Married,Less than $40K,Blue,3174,0.766,1243,29,0.611
714877233,Existing Customer,53,M,High School,Married,$80K - $120K,Blue,12262,1.584,1659,38,1.533
785387883,Existing Customer,47,F,High School,Single,$40K - $60K,Blue,3788,0.566,1594,47,0.382
771075258,Existing Customer,55,M,College,Single,$120K +,Silver,34516,0.526,1268,42,0.355
711318033,Existing Customer,47,M,Graduate,Single,$60K - $80K,Blue,2926,0.676,1304,24,0.846
783554958,Existing Customer,58,M,Graduate,Single,$120K +,Blue,32090,0.567,1368,30,0.364
720201033,Attrited Customer,53,M,Graduate,Married,$80K - $120K,Blue,11669,0.622,720,23,0.353
718039683,Existing Customer,52,M,High School,Single,$40K - $60K,Blue,13532,0.846,1521,29,1.417
710806083,Existing Customer,50,F,Uneducated,Unknown,Less than $40K,Silver,11888,0.7,1137,30,0.765
714752208,Existing Customer,42,F,Graduate,Married,Less than $40K,Blue,2393,0.788,978,16,0.778
822063408,Existing Customer,43,M,Unknown,Married,$40K - $60K,Blue,6111,0.632,1221,16,2.2
714490308,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,19270,1.186,1565,28,1.545
713356833,Existing Customer,52,M,Graduate,Married,$80K - $120K,Blue,3710,1.541,1578,34,0.7
711402333,Existing Customer,47,M,Doctorate,Single,Less than $40K,Blue,3235,0.541,1493,32,1
708296883,Existing Customer,44,F,Graduate,Single,$40K - $60K,Blue,11749,0.688,1178,27,0.929
719154483,Existing Customer,53,M,High School,Divorced,$60K - $80K,Blue,7753,0.839,991,26,0.733
717721458,Existing Customer,45,M,College,Divorced,$60K - $80K,Blue,10408,1.689,2560,42,1.211
711112683,Existing Customer,63,F,College,Married,Unknown,Blue,3967,1.236,1657,29,1.231
715674483,Existing Customer,39,F,Post-Graduate,Single,Less than $40K,Blue,6205,0.939,1204,19,0.727
789322833,Attrited Customer,48,F,High School,Married,Less than $40K,Blue,8025,0.654,673,18,0.8
789968058,Existing Customer,51,M,Unknown,Single,$120K +,Blue,9036,0.649,1131,18,0.636
709919283,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,14926,1.996,1576,25,1.5
718744008,Existing Customer,59,F,Graduate,Single,Less than $40K,Blue,6335,0.397,1217,20,0.667
767712558,Attrited Customer,59,M,College,Single,$60K - $80K,Blue,14979,0.71,530,10,1
712950783,Attrited Customer,48,F,Uneducated,Married,Less than $40K,Blue,2732,0.76,739,16,0.455
716104983,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,2250,1.162,1617,31,2.875
818839983,Existing Customer,55,M,Graduate,Married,$120K +,Blue,10916,1.317,1592,34,1
772288758,Existing Customer,47,F,Graduate,Married,Unknown,Blue,5349,0.728,1343,30,1.308
712350858,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,9366,0.572,1303,39,0.625
711009708,Existing Customer,40,M,High School,Single,$80K - $120K,Blue,21617,1.047,1351,22,0.467
712720158,Existing Customer,68,M,Graduate,Married,Unknown,Blue,13860,1.255,1910,32,1.909
712215258,Existing Customer,50,F,Graduate,Single,$40K - $60K,Silver,18386,0.868,1298,22,0.571
773827008,Existing Customer,47,M,Uneducated,Single,$60K - $80K,Blue,2405,0.469,1087,29,1.231
795232683,Existing Customer,53,F,College,Married,Less than $40K,Blue,2154,2.121,1439,26,1.364
713786508,Existing Customer,42,F,Unknown,Married,$40K - $60K,Blue,2038,0.786,1238,28,0.75
713539833,Existing Customer,48,F,High School,Single,$40K - $60K,Blue,8135,1.373,1716,29,0.812
712454058,Existing Customer,49,M,Doctorate,Married,$120K +,Blue,9364,0.554,1099,27,0.8
718759833,Existing Customer,44,F,Uneducated,Married,Unknown,Silver,32643,1.3,1058,24,2.429
718803333,Existing Customer,43,F,Graduate,Divorced,Less than $40K,Blue,3195,0.971,1285,29,0.706
720253908,Existing Customer,56,M,High School,Married,$80K - $120K,Blue,2852,1.009,1651,28,1
714133158,Existing Customer,59,F,College,Single,Unknown,Blue,4224,0.852,1152,31,0.824
713187033,Existing Customer,46,M,Uneducated,Married,$60K - $80K,Blue,20459,1.248,1767,38,2.167
714791208,Existing Customer,47,F,Unknown,Divorced,Less than $40K,Blue,3482,0.508,1039,24,0.263
772426383,Existing Customer,50,F,Uneducated,Married,$40K - $60K,Blue,3065,1.077,1130,28,1.333
710975883,Existing Customer,51,F,Uneducated,Married,Less than $40K,Blue,2185,0.682,1645,30,0.429
714264408,Existing Customer,47,F,Uneducated,Married,Less than $40K,Blue,1611,0.993,1413,29,0.706
715827858,Existing Customer,58,F,Uneducated,Married,Less than $40K,Blue,2822,1.456,1218,23,2.286
713741358,Attrited Customer,46,M,Graduate,Single,$80K - $120K,Blue,32975,0.658,597,17,0.7
709531908,Existing Customer,53,M,High School,Married,$60K - $80K,Blue,1438.3,0.776,2184,53,0.828
716493408,Existing Customer,45,F,Uneducated,Divorced,Unknown,Blue,15875,0.86,1592,37,1.467
714141108,Existing Customer,52,F,High School,Married,Less than $40K,Blue,6703,0.567,1388,28,0.75
708953883,Attrited Customer,53,M,Unknown,Married,$80K - $120K,Blue,3212,0.713,757,20,0.25
712608783,Existing Customer,50,M,High School,Married,$80K - $120K,Silver,34516,0.588,1504,34,0.789
820353558,Existing Customer,41,F,High School,Married,$40K - $60K,Blue,9797,0.644,1503,34,0.478
714964758,Existing Customer,45,F,Graduate,Divorced,$40K - $60K,Blue,10400,0.791,1105,28,0.867
716264358,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,26792,1.432,2398,47,0.88
717296808,Existing Customer,67,F,Graduate,Married,Less than $40K,Blue,3006,2.053,1661,32,1
712977183,Existing Customer,57,F,Uneducated,Single,$40K - $60K,Silver,19482,0.706,1421,22,1.444
710829108,Existing Customer,59,F,Uneducated,Married,$40K - $60K,Blue,3356,0.35,999,28,0.556
779562633,Existing Customer,45,M,Uneducated,Married,$40K - $60K,Blue,5771,1.791,1387,18,0.8
715315833,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,11106,0.948,1243,24,1
815500983,Existing Customer,59,F,Uneducated,Married,Less than $40K,Blue,2890,1.334,1860,36,1
719360583,Existing Customer,53,M,Graduate,Married,$60K - $80K,Blue,3380,0.747,1502,25,1.273
709701558,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,21331,0.949,1460,50,1.083
721148358,Existing Customer,49,F,Uneducated,Single,Unknown,Blue,12860,0.646,1348,27,0.286
779862408,Existing Customer,49,M,Post-Graduate,Single,$80K - $120K,Blue,6278,1.161,1087,33,0.941
812627208,Existing Customer,60,F,College,Single,Less than $40K,Blue,1438.3,0.782,1226,33,0.571
711033408,Existing Customer,50,F,High School,Married,Less than $40K,Blue,9355,0.701,1230,28,0.867
779956608,Existing Customer,41,F,Post-Graduate,Married,Unknown,Blue,20758,0.688,1555,32,0.684
780376683,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,14612,1.768,1827,24,3
717912483,Existing Customer,43,M,Graduate,Unknown,$80K - $120K,Blue,27259,0.731,1376,35,0.591
714454758,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,6347,0.896,1771,37,0.762
780466533,Existing Customer,54,M,Doctorate,Married,$120K +,Blue,21592,1.097,1873,52,0.529
715735233,Existing Customer,51,F,Post-Graduate,Married,Less than $40K,Blue,3449,0.971,1679,42,0.556
720476733,Existing Customer,47,F,High School,Married,Less than $40K,Blue,6028,0.819,1002,22,0.571
715872333,Existing Customer,41,M,High School,Unknown,$120K +,Blue,18214,0.829,1344,21,1.1
712375758,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,16393,1.642,1461,42,0.75
708868233,Attrited Customer,68,M,High School,Married,Less than $40K,Blue,1438.3,0.743,760,21,0.615
718030083,Existing Customer,59,M,College,Married,$60K - $80K,Blue,7871,1.242,1428,22,1.444
720707283,Existing Customer,48,M,Unknown,Married,$80K - $120K,Blue,5288,0.869,1777,42,0.75
771698658,Existing Customer,44,M,Graduate,Married,$60K - $80K,Blue,11376,0.619,1302,27,0.8
748326258,Existing Customer,48,M,College,Married,$80K - $120K,Blue,12302,1.509,1483,41,0.519
770817783,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,34516,0.623,1060,27,0.5
779353083,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,34516,0.505,1330,32,0.684
711441333,Existing Customer,43,F,High School,Divorced,Less than $40K,Silver,10514,0.504,1229,27,0.8
719808558,Attrited Customer,55,F,Graduate,Married,Less than $40K,Blue,1438.3,0.707,886,27,0.421
711551958,Attrited Customer,59,M,Post-Graduate,Married,$60K - $80K,Blue,1438.3,0.688,844,24,0.5
809164083,Existing Customer,63,M,Graduate,Married,$40K - $60K,Blue,2619,1.259,1450,37,0.947
820596183,Existing Customer,58,M,College,Married,$120K +,Blue,24407,1.071,2311,48,0.714
715999608,Existing Customer,53,F,High School,Married,Less than $40K,Blue,2377,0.93,1378,26,1.167
710565408,Existing Customer,59,M,Unknown,Unknown,$80K - $120K,Silver,34516,1.327,1033,26,1.364
805543158,Existing Customer,52,M,Graduate,Married,$120K +,Blue,11086,0.869,1523,40,1.105
709752183,Existing Customer,48,M,High School,Single,$60K - $80K,Blue,11432,0.615,1374,37,0.762
716479233,Existing Customer,43,M,High School,Married,$40K - $60K,Blue,13258,0.908,1080,21,1.333
713837058,Existing Customer,48,M,College,Single,Less than $40K,Blue,2571,0.531,1234,24,0.714
718876683,Existing Customer,43,F,Graduate,Single,Less than $40K,Blue,5781,0.638,1600,32,0.455
770746908,Existing Customer,44,M,Unknown,Married,$60K - $80K,Blue,7872,0.971,1155,32,0.882
794843883,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,34516,0.603,1353,33,0.737
803043933,Existing Customer,44,F,Uneducated,Divorced,Less than $40K,Silver,11127,2.368,1546,25,1.273
758076408,Existing Customer,50,M,Unknown,Single,$40K - $60K,Blue,1857,0.579,1590,43,1.263
714606558,Existing Customer,60,F,Uneducated,Married,Less than $40K,Blue,1913,1.008,1448,22,1
778425408,Existing Customer,44,M,Graduate,Single,$80K - $120K,Blue,3839,0.569,1271,24,0.714
714171108,Existing Customer,48,F,Graduate,Divorced,$40K - $60K,Blue,2115,0.616,1223,20,0.538
719662458,Existing Customer,44,F,Graduate,Divorced,Less than $40K,Blue,1438.3,0.859,1117,29,1.071
713137233,Existing Customer,41,M,High School,Single,$80K - $120K,Blue,27756,0.75,994,24,0.846
769425858,Existing Customer,45,M,College,Single,$60K - $80K,Blue,1438.3,0.81,1468,26,0.625
711297483,Existing Customer,47,F,Uneducated,Divorced,Less than $40K,Silver,13878,0.853,1658,38,0.357
788900883,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,3106,0.604,1368,38,0.407
758348808,Existing Customer,51,M,Graduate,Married,$120K +,Blue,34516,0.613,1218,18,0.8
772336458,Attrited Customer,60,F,Uneducated,Married,$40K - $60K,Blue,1438.3,0.838,702,12,0.714
708711483,Existing Customer,57,M,Unknown,Married,$80K - $120K,Blue,18871,1.727,1516,21,2
717906783,Existing Customer,41,M,Graduate,Single,$120K +,Blue,5207,1.073,1310,26,1
719437908,Existing Customer,44,M,Post-Graduate,Divorced,$80K - $120K,Blue,17965,0.921,1767,50,0.923
769433508,Existing Customer,43,M,College,Single,$60K - $80K,Blue,2733,0.767,933,25,0.923
790096533,Existing Customer,55,M,College,Married,$60K - $80K,Blue,8863,1.207,1512,27,1.455
720997383,Attrited Customer,52,M,Uneducated,Married,$80K - $120K,Blue,1857,0.723,829,17,0.7
787541883,Existing Customer,44,M,Graduate,Unknown,$80K - $120K,Blue,34516,0.483,1120,27,0.35
709930758,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,11107,0.538,1506,33,0.941
789830058,Existing Customer,44,M,Unknown,Single,$80K - $120K,Blue,21573,0.621,1384,36,2.273
710299608,Attrited Customer,53,F,Unknown,Married,Less than $40K,Blue,2859,0.993,817,30,0.667
710741208,Existing Customer,39,M,High School,Single,$80K - $120K,Blue,5269,1.148,2094,25,0.667
821797008,Attrited Customer,49,M,College,Married,$40K - $60K,Blue,1438.3,0.734,815,21,0.615
708874533,Attrited Customer,45,F,College,Married,Less than $40K,Blue,3387,0.789,510,24,0.6
715341858,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,1982,0.939,1377,49,0.69
793636308,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,4645,0.912,1193,33,0.65
713779908,Existing Customer,46,F,Doctorate,Single,Unknown,Blue,2189,0.343,1287,36,0.636
712125258,Attrited Customer,46,M,High School,Married,$120K +,Blue,2442,0.98,701,19,0.727
709703433,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,21304,1.018,1770,25,0.923
721022433,Existing Customer,44,M,Doctorate,Single,$60K - $80K,Blue,7577,0.435,1409,35,0.167
710103558,Existing Customer,50,M,Post-Graduate,Single,$120K +,Blue,3234,0.868,1354,28,0.647
715952883,Existing Customer,73,M,High School,Married,$40K - $60K,Blue,4469,1.363,1765,34,1.615
719731458,Existing Customer,56,M,Unknown,Unknown,$40K - $60K,Blue,2910,0.538,1192,27,0.588
772390908,Attrited Customer,59,M,High School,Single,$40K - $60K,Blue,3616,0.616,687,17,0.545
787348608,Existing Customer,70,M,High School,Married,Less than $40K,Blue,3252,0.581,1227,15,0.875
709485033,Existing Customer,55,F,High School,Married,Less than $40K,Blue,2358,0.969,1737,26,1.6
715432608,Existing Customer,43,M,Unknown,Single,$60K - $80K,Blue,22322,0.769,1348,34,1.125
799471833,Existing Customer,45,M,Uneducated,Single,$120K +,Blue,3133,0.609,1435,38,0.462
714187533,Existing Customer,45,F,Uneducated,Single,$40K - $60K,Blue,3540,0.456,1321,28,0.75
779656908,Existing Customer,40,M,Graduate,Married,$40K - $60K,Blue,6990,0.73,1479,29,0.611
788950158,Existing Customer,36,M,College,Unknown,$80K - $120K,Blue,34516,0.854,1283,39,1.294
778867533,Attrited Customer,59,F,Post-Graduate,Married,$40K - $60K,Blue,1438.3,1.038,689,23,0.353
710620383,Existing Customer,43,M,Unknown,Married,$60K - $80K,Blue,24396,0.655,965,17,1.125
778661358,Existing Customer,46,F,Unknown,Married,Less than $40K,Blue,2474,1.53,1541,40,1
789483333,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,5214,0.707,1258,23,1.3
809855808,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,5207,0.708,1339,20,0.538
718464258,Existing Customer,51,F,Unknown,Unknown,Less than $40K,Blue,9512,0.701,1007,22,1.444
708528483,Existing Customer,43,F,Graduate,Divorced,Unknown,Blue,3187,0.617,1387,33,1.357
771809733,Attrited Customer,64,F,High School,Married,$40K - $60K,Blue,3353,1.021,960,18,0.385
719942883,Existing Customer,54,M,Graduate,Married,$60K - $80K,Blue,2290,0.923,1119,18,3.5
807226683,Existing Customer,48,M,Unknown,Single,$40K - $60K,Blue,5279,0.549,1642,41,0.519
717806133,Existing Customer,40,M,Uneducated,Divorced,$60K - $80K,Blue,23603,0.795,1382,31,1.067
720615708,Existing Customer,57,M,Uneducated,Married,$40K - $60K,Blue,2601,0.814,1232,32,0.684
714511758,Existing Customer,45,M,Graduate,Single,$80K - $120K,Blue,6363,0.838,1542,16,1.286
